year,name,lyrics
2002,We Will Get There,"Remember the days, we set out together with faith?
Remember the times, so fine, when we thought that
Nothing could stand in our way?
Then things weren't the same, the life that we knew had to change
We've struggled through, the darkest storms
We thought we couldn't tame
Together we've tried, as we stood side by side
I knew we'd build a new world
A world of hope for ever after
Deep in my heart I just know
Right from the start, we will grow
Look where we are, we've come so far
And there's still a long, long way to go
With all of my heart, I will care
I'll play my part, I will share
With family and friends, together we'll stand
And in the end, hand in hand
We will get there
So now we begin, working together to win
Believing in trust, it must
Be possible to overcome anything
There's so much to do, there's so much we can contribute
By sharing just a little love
We will start again anew
So why don't we try? If we stand side by side
I know we'll build a new world
A world of hope for ever after
Deep in my heart I just know
Right from the start, we will grow
Look where we are, we've come so far
And there's still a long, long way to go"
2003,One United People,"One Singapore
One people strong & free
With one heart,
One voice we make our history,
We are a rainbow of a thousand colors
lighting up the sky
we share the Singapore heartbeat
together you & I, We are One SingaporeOne nation strong & free
A thousand voices sing in harmony
We will stand together
together hand in hand as
One united people
for Singapore my homeland
My Singapore
Our island in the sun
this is my homeland
its where my strength is from
a rainbow of thousand colors
lighting up the sky
we build a brighter future
together you & I
we are One Singapore
One nation strong & free
A thousand different voices sing in harmony
We will stand together
together hand in hand as
One united people
for Singapore my homeland
One Singapore
One nation strong & free
A thousand different voices sing in harmony
We will stand together
together hand in hand as
One united people
One united people
One united people
for Singapore my homeland"
2004,Home (Choral),"Whenever I am feeling low
I look around me and I know
There's a place that will stay within me
Wherever I may choose to go
I will always recall the city
Know every street and shore
Sail down the river which brings us life
Winding through my SingaporeThis is home truly, where I know I must be
Where my dreams wait for me, where the river always flows
This is home surely, as my senses tell me
This is where I won't be alone, for this is where I know it's home"
2005,Reach Out For The Skies,"At a time when hope was low
The journey seems unsure
But through it all
We've kept the flame alive
Now standing proud and tall
Our spirit strong and free
Building on hopes and dreams
It's here we want to be
Let's reach out for the skies
With wings we soar up high
Our dreams we'll all achieve
We'll make our destiny
Let's reach out for the skies
With wings we soar up high
Our dreams we'll all achieve
Let's soar and reach for the skies
When I think about my dreams
The future it can be
The time has come for me
To strive and to achieve
With hopes within our hearts
As one hand in hand
For family and our friends
Let's do the best we can
Let's reach out for the skies
With wings we soar up high
Our dreams we'll all achieve
We'll make our destiny
Let's reach out for the skies
With wings we soar up high
Our dreams we'll all achieve
Let's soar and reach for the skies
Our dreams we'll all achieve
Let's soar and reach for the skies
We can touch the skies"
2006,My Island Home,"This is my home
She’s everything to me
Grace and beauty
In all that you see
My island home
Wherever I may be
I never will forget her
Nor will she forget me
And I will sing
A song of home
A land of peace
Where dreams are born everyday
My home
Wherever I may be
I believe
You will always be a part of me
My island home
Home of my family
This is my future
Where I want to be
This is my future
This is my home
My home
Wherever I may be
I believe
You will always be a part of me
A part of me"
2007,There's No Place I'd Rather Be,"I’ve walked the streets of Cairo & Bombay
I’ve seen the neon signs on old Broadway
I’ve climbed the Eiffel Tower
The Great Wall in one hour
Experienced Sweet and Sour
But that’s okay
Seen Hollywood, the sunsets in LA
The London Bridge, Big Ben, the Thames, UK
I’ve crossed the River Kwai
Yet still I don’t know why
I think of you each night and every day
There’s no place I’d rather be
You’ll always be a part of me
And even though I’ve roamed the world
It’s still my home I long to see
This is where my family
And my friends grew up with me
So I’ll cross the skies and sail the seas
To be where I wanna be
There’s no place I’d rather be
You’ll always be a part of me
And even though I’ve roamed the world
It’s still my home I long to see
This is where my family
And my friends grow old with me
So I’ll cross the skies and sail the seas
To be where I wanna be
Cos there’s no place I’d rather be"
2007,Will You,"Will you make this island
Amazing in all ways?
Surprises every corner,
Delightful nights and days.
Will you take this country
And turn it from a place
To a home that greets you
With smiles on every face?
Will you come on this brave journey?
Will you help to make it real?
Will you write us grand new stories,
Songs that everyone will feel?
Will you swim the current?
Will you scale new heights?
Will you make it happen,
Will you let your dreams take flight?
Will you make the difference?
Will you seize the day?
Will you live each moment,
Will you dare to find new ways?
Will you take this city
And turn it into a place
To a home that greets you
With smiles on every face
Will you come on this brave journey?
Will you help to make it real?
Will you write us grand new stories,
Songs that everyone will feel?
Will you swim the current?
Will you scale new heights?
Will you make it happen,
Will you let your dreams take flight?
Will you make the difference?
Will you seize the day?
Will you live each moment,
Will you dare to find new ways?
Dare to find, dare to find, dare to find new ways!"
2008,Shine For Singapore,"Have you seen a star,
One that guides you no matter where you are?
However vast the sky may be
Or dark it seems
You can be sure, it's always there for you and me
Have you heard a song,
One that moved you, one that made you sing along?
Your dreams and hopes will all come true
If you believe that every vision begins with you.
Shine for Singapore
This is your song,
Deep inside your heart where it belongs
It'll always stay. Strive for your goals,
You will achieve with visions so bold.
Shine for Singapore
This is our song
Reach out for the sky, far and beyond
As one we'll stand, we're Singapore
It's here that we belong
Have you heard a song,
One that moved you, one that made you sing along?
Your dreams and hopes will all come true
If you believe that every vision begins with you.
Shine for Singapore
This is your song,
Deep inside your heart where it belongs
It'll always stay. Strive for your goals,
You will achieve with visions so bold.
Shine for Singapore
This is our song
Reach out for the sky, far and beyond
As one we'll stand, we're Singapore
It's here that we belong
Nowhere I'd rather be, this is home to me
This star shines strong and free"
2009,What Do You See,"There’s a jewel on the ocean,
a gem upon the sea
Where the future is an open book
A land of destiny
We could set our sights into the wind and sail the seven seas
or climb the highest mountain top as long as we believe
What do you see? What do you see?
See the moon and the stars, look how far we have come
Look around at our faces, they shine brightly in the sun
With our hopes and dreams, imagine what tomorrow it may bring
What do you see? What do you see?
Now the time has come to reach out,
To open up to see
That we stand together in this land
Cos we are family
As thoughts of reaching to the sky are carried on a dream
With hearts and minds united, our dreams we will achieve
What do you see? What do you see?
See the moon and the stars, look how far we have come
Look around at our faces, they shine brightly in the sun
With our hopes and dreams, imagine what tomorrow it may bring
What do you see
What do you see when life makes you take on a mountain
Youll see that nothings gonna stand in your way
Together we can share
The strength of a million
and the courage of a million more
See the moon and the stars, look how far we have come
Look around at our faces, they shine brightly in the sun
With our hopes and dreams, imagine what tomorrow it may bring
Cos the skys the only limit when youre not afraid to dream
What do you see? What do you see"
2010,Song For Singapore,"It's a brand new day a brand new story
I remembered the way it used to be
We've come so far
You're my history you're my beginning
In all I've done I've been nurtured in your arms
And you carried me this far
I want to sing
Sing a song for Singapore
With every generation there's more to be grateful for
So come and sing
Sing a song for Singapore
You're my brother you're my sister
I'm thankful for my Singapore
My Singapore
Singapore
Come together everybody
Fly the flag and share our story
Live our wildest dreams
Celebrate the red and white
The moon and stars in harmony unite
Let every colour every heart
Come on and sing
Sing a song for Singapore
With every generation there's more to be grateful for
So come and sing
Sing a song for Singapore
You're my brother you're my sister
I'm thankful for my Singapore
My Singapore
Singapore
We've had our ups and downs
Sometimes the best things are taken for granted
You're my family you're my home
I want to sing
Sing a song for Singapore
With every generation there's more to be grateful for
So come and sing
Sing a song for Singapore
You're my brother you're my sister
I'm thankful for my Singapore
My Singapore
Singapore"
2011,In A Heartbeat,"I have a dream of starting a life
I have a hope, a flame alight
This is the moment, freedom is calling
This is my start, a new beginning
I have a heart, it beats for you
A step at a time, our spirit renew
Living together under the sun
Our hearts will beat as one
In a heartbeat, I’ll be there for you
In a heartbeat, no one else will do
In a heartbeat, we will always be
Together, united; you and me
In a heartbeat, time has passed us by
In a heartbeat, we will reach the sky
In a heartbeat, this will always be
Our people, our country
This is our family
Nothing will stand in our way
We can be strong today
The flame is alive
This is our life
In a heartbeat, I’ll be there for you
In a heartbeat, no one else will do
In a heartbeat, we will always be
Together, united; you and me
In a heartbeat, time has passed us by
In a heartbeat, we will reach the sky
In a heartbeat, this will always be
Our people, our country
This is our family"
2012,Love At First Light,"First light
Rolls across my peaceful isle
Mornings, I wake up, refreshed, renewed
Ready to meet the bright new day
So much to look forward to
Daylight
The city has stirred to life
Your smiles
Put a spring in my step
There's a feeling that binds us one and all
Different stories, shared memories
I love my city's lively ways
Warm sunny days
Sights and sounds, special tastes
That add up to this place
I love my friends, my closest ties
Now I finally realize
When it feels this right
You know that it's love at first light
Night fall, stars twinkling on the bay
My dreams can take flight if I dare
There's a feeling that binds us one and all
We look forward to a brighter day
Hand in hand, we'll find new strength
And see our dreams take flight in Singapore
Where ever we roam, there's no place like home
Come what may, we'll be here to stay
When it feels this right
You know that it's
Love at first light"
2013,One Singapore,"I will be here
Right by your side, here
I will hold near
All that we love so dear
Not looking elsewhere
My life is here to share
Just want to show I care
I know we just got started
And I’m excited
It may not seem all perfect
But you know what?
Our story’s just beginnin’
I’m gonna give it my all
Oh yea
Together we can reach for
the stars
with hope in our hearts
Together we are stronger
as one
let’s walk hand in hand
Together we’ll make
dreams come true
won’t ever give up
Together sharing the love
with all that we do
Let our hearts sing
Wooh ho-oh^oh! Wooh ho-
oh. oh,oh!
Wooh ho-oh^oh! Wooh-ho-
oh-oh.oh,
Together
Together as one
We’re so much more
One Singapore
It seems like so long ago
When we got started
We wanted everything right
But you know what
Our story keeps on going
We’ll give it our all
Rap
Yo! I may look like I’m just
a tiny thing
Here I am, I can bravely
sing
For sure I’m gonna give
you my everything
Like how I play when that
recess bell rings
I’m gonna give it my all
Cos this is my home
I love
I love
I love
I love my Singapore
Let’s join up the dots
Light up this spot
That we call home
Many memories and stories
to be shared
Like the colours of the
rainbow we will shine ever
so bright
Together we shine
Together we shine"
2015,Our Singapore,"It isn't easy building something out of nothing
Especially when the road ahead's a rocky one
But if we gather all our courage and conviction
And hold our dream up high, the challenge will be won
So now we look around us and we see
A nation built with love by you and me
A land to treasure right to the core
Our home, our heart, our Singapore
Woah-oh-oh-oh-oh-oh-oh
Woah-oh-oh-oh-oh-oh-oh
Woah-oh-oh-oh-oh-oh-oh
Our home, our heart, our Singapore
Through many years gone by, we moved ahead together
We built a brave new world where we could shine and grow
And now we only have to look towards tomorrow
To carry on the dream as far as it will go
So now we look around us and we see
A nation built with love by you and me
A land to treasure right to the core
Our home, our heart, our Singapore
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home, our heart, our Singapore
And amazing as it seems
It all started with a dream
And our dreaming isn't done
'Cause the best is yet to come
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home, our heart, our Singapore
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home, our heart, our dreams
Our Singapore
Ooh Singapore
Ooh Singapore
Our Singapore"
2016,Tomorrow's Here Today,"Raise your head to the skies
This is how we all begin
See the fire in your eyes
Feel the yearning deep within
Take a leap and you will fly
With all the wishes that you own
Make your dreams light up the sky
Home is where you’re not alone
And our hearts will beat together
Echoing what dreams may come
Walking tall in any weather
Time has come bang the drum
Cause tomorrow's here today
Dream away
Take the world by the hand
Cause tomorrow's here today
Dream away
Come let's go right away
Cause tomorrow's here today
Step into a brand new day
Tomorrow's calling out your name
When you know just who you are
You can't stop you are on fire
Looking up beyond the stars
Fly the flag and raise it higher
And our hearts will beat together
Echoing what dreams may come
Walking tall in any weather
Time has come bang the drum
Cause tomorrow's here today
When we run along
And we’re standing tall
When we sing our song
No way that we can fall
Be what we want to be
When we make our way
Till it’s plain to see
Tomorrow’s here today
Yeah
Take the world by the hand
Cause tomorrow's here today
Yeah
Come let's go right away
Cause tomorrow's here today"
2017,Because It’s Singapore,"Step by step
Together we'll build our dreams
Heart to heart
Together we'll stay as one nation,
undivided
Back to back
Together we'll brave the
heat, the cold, the storms
Hand in hand
Together we'll grow this
land that we call home
Nothing in this world compares
It's our Singaporean Life
Everyone is family-friend and neighbour
Living in harmony
Nothing in this world compares
To this island where it's home
Where we love and know
we'll never be alone
Because it's Singapore
We Can Be
The world will see
Step by step
Together we'll build our dreams
Heart to heart
Together we'll stay as one nation,
undivided
Back to back
Together we'll brave the
heat, the cold, the storms
Hand in hand
Together we'll grow this
land that we call home
Nothing in this world compares
It's our Singaporean Life
Everyone is family, friend and neighbour
Living in harmony
Nothing in this world compares
To this island where it's home
Where we love and know
we'll never be alone
Nothing in this world compares
It's our Singaporean Life
Everyone is family, friend and neighbour
Living in harmony
Nothing in this world compares
To this island where it's home
Where we love and know
we'll never be alone
Because it's Singapore
We Can Be
The world will see
We are Singapore"
2018,We Are Singapore (remix),"How many times have you heard them say
“The future is uncertain and everything must change”
Well all of my worries and all of my fears
Begin to lose their weight, when I hold you near
If all that we are is what we believe
Then I know I’ve got to be the change I want to see
How easy we forget that everything takes time
No, nothing's ever perfect, but I still call you mine (o-o-o-oh, o-oh)
This is my country, this is my flag
This is my future, this is my life
This is my family, these are my friends
We are Singapore, Singaporeans
This is my country, this is my flag
This is my future, this is my life
This is my family, these are my friends
We are Singapore, Singaporeans
We, the citizens of Singapore
Pledge ourselves as one united people
Regardless of race, language or religion
To build a democratic society
Based on justice and equality
So as to achieve happiness, prosperity
And progress for our nation
This is my country, this is my flag
This is my future, this is my life
This is my family, these are my friends
We are Singapore, Singaporeans
We are Singapore, we are Singapore
We will stand together, hear the lion roar
We are Singapore, we are Singapore
We’re a nation strong and free forever more
(This is my country, this is my flag) We are Singapore, we are Singapore
(This is my future, this is my life) We will stand together, hear the lion roar
(This is my family, these are my friends) We are Singapore, we are Singapore
We are Singapore, Singaporeans
We are Singapore, Singaporeans"
2019,Our Singapore (remix),"Remember the days,
We set out together with faith?
Remember the times,so fine,
when we thought
Nothing could stand in our way?
Then things weren't the same,
The life that we knew had to change
We've struggled through,
the darkest storms
We thought we couldn't tame
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Through many years gone by,
we've moved ahead together
We've built a brave new world
where we could shine and grow
Ohh..And now we only have
to look towards tomorrow
To carry on the dream
as far as it will go
So now we look around us and we see
A nation built with love by you and me
A land to treasure
right down to the core
Our home, our heart, our Singapore
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home,our heart, our SINGAPORE
To my people of the future
We built it for the ones that dream
Hand in hand we make our land
Our home, the place to be
From young to Gold,
Our stories unfold,
Moments like these will speak
Words that last forever,
Worlds that come together
To show that we're all the same
We'll break the chains,to make a change
Burn bright,Our lion city flame
And amazing as it seems
It all started with a dream
But the dreaming isn't done
Coz the best is yet to come
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home, our heart, our SINGAPORE
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
Our home, our heart, our SINGAPORE Deep in my heart I just know
Right from the start, we will grow
Look where we are,we've come so far
And there's still a long, long way to go
With all of my heart, I will care
I'll play my part, I will share
With family and friends,
together we'll stand
And in the end,hand in hand
We will get there
Oh-oh-oh-oh-oh-oh-oh
Our home,
Our heart,
Our dream."
2020,Everything I Am,"I want you to understand
Because of you, I am who I am
Because of who you are
I can be everything I am
Show me how I should be strong
Teach me that I can be weak
Because of who you are
I can find anything I seek
And in each other, there will be
The colours of your tapestry
Colours you’ve never seen
Here’s to my home, to my homeland
To every shining crystal in the sand
Because of who you are
I can be everything I am
Here’s to you, to my homeland
I hold this precious jewel in my hand
Because of who you are
I can be everything I am
Teacher, teach me to be kind
Quick to embrace
And slow to close my mind
If we reach that star
We’ll have the universe in time
And in each other, there will be
The fabric of our destiny
It’s more than you and me
Here’s to my home, to my homeland
A sea of shining crystals in the sand
Because of who you are
I can be everything I am
Here’s to you, Singapore (homeland)
Here’s to my people I could want nothing more
Here’s to you, Singapore (homeland)
We hold this precious jewel in our hands
Because of who you are
Because of who you are
I can be everything I am"
